aleksandrowski , 0401
bialski , 0601
biłgorajski , 0602
bolesławiecki , 0201
brodnicki , 0402
bydgoski , 0403
chełmiński , 0404
chełmski , 0603
dzierżoniowski , 0202
głogowski , 0203
golubsko-dobrzyński , 0405
gorzowski , 0801
górowski , 0204
grudziądzki , 0406
hrubieszowski , 0604
inowrocławski , 0407
janowski , 0605
jaworski , 0205
jeleniogórski , 0206
kamiennogórski , 0207
kłodzki , 0208
krasnostawski , 0606
kraśnicki , 0607
legnicki , 0209
lipnowski , 0408
lubański , 0210
lubartowski , 0608
lubelski , 0609
lubiński , 0211
lwówecki , 0212
łęczyński , 0610
łukowski , 0611
międzyrzecki , 0803
milicki , 0213
mogileński , 0409
nakielski , 0410
nowosolski , 0804
oleśnicki , 0214
oławski , 0215
parczewski , 0613
polkowicki , 0216
puławski , 0614
radziejowski , 0411
radzyński , 0615
rycki , 0616
rypiński , 0412
sępoleński , 0413
słubicki , 0805
strzelecko-drezdenecki , 0806
strzeliński , 0217
sulęciński , 0807
świebodziński , 0808
świecki , 0414
toruński , 0415
trzebnicki , 0220
tucholski , 0416
wałbrzyski , 0221
wąbrzeski , 0417
włocławski , 0418
włodawski , 0619
wołowski , 0222
wrocławski , 0223
wschowski , 0812
zamojski , 0620
ząbkowicki , 0224
zgorzelecki , 0225
zielonogórski , 0809
złotoryjski , 0226
żagański , 0810
żarski , 0811
żniński , 0419
m. Biała Podlaska , 0661
m. Bydgoszcz , 0461
m. Chełm , 0662
m. Gorzów Wielkopolski , 0861
m. Grudziądz , 0462
m. Jelenia Góra , 0261
m. Legnica , 0262
m. Lublin , 0663
m. Toruń , 0463
m. Wałbrzych , 0265
m. Włocławek , 0464
m. Wrocław , 0264
m. Zamość , 0664
m. Zielona Góra , 0862
krośnieński (odrzański) , 0802
opolski (lubelski) , 0612
średzki (śląski) , 0218
świdnicki (lubelski) , 0617
świdnicki (śląski) , 0219
tomaszowski (lubelski) , 0618
augustowski , 2001
bartoszycki , 2801
bełchatowski , 1001
będziński , 2401
białobrzeski , 1401
białogardzki , 3201
białostocki , 2002
bieszczadzki , 1801
bocheński , 1201
braniewski , 2802
brzeziński , 1021
brzozowski , 1802
buski , 2601
bytowski , 2201
chodzieski , 3001
chojnicki , 2202
choszczeński , 3202
chrzanowski , 1203
ciechanowski , 1402
cieszyński , 2403
czarnkowsko-trzcianecki , 3002
częstochowski , 2404
człuchowski , 2203
dąbrowski , 1204
dębicki , 1803
drawski , 3203
działdowski , 2803
elbląski , 2804
ełcki , 2805
garwoliński , 1403
gdański , 2204
giżycki , 2806
gliwicki , 2405
głubczycki , 1602
gnieźnieński , 3003
goleniowski , 3204
gołdapski , 2818
gorlicki , 1205
gostyniński , 1404
gostyński , 3004
grajewski , 2004
grójecki , 1406
gryficki , 3205
gryfiński , 3206
hajnowski , 2005
iławski , 2807
jarociński , 3006
jarosławski , 1804
jasielski , 1805
jędrzejowski , 2602
kaliski , 3007
kamieński , 3207
kartuski , 2205
kazimierski , 2603
kędzierzyńsko-kozielski , 1603
kępiński , 3008
kętrzyński , 2808
kielecki , 2604
kluczborski , 1604
kłobucki , 2406
kolbuszowski , 1806
kolneński , 2006
kolski , 3009
kołobrzeski , 3208
konecki , 2605
koniński , 3010
koszaliński , 3209
kościański , 3011
kościerski , 2206
kozienicki , 1407
krakowski , 1206
krapkowicki , 1605
krotoszyński , 3012
kutnowski , 1002
kwidzyński , 2207
legionowski , 1408
leski , 1821
leszczyński , 3013
leżajski , 1808
lęborski , 2208
lidzbarski , 2809
limanowski , 1207
lipski , 1409
lubaczowski , 1809
lubliniecki , 2407
łańcucki , 1810
łaski , 1003
łęczycki , 1004
łobeski , 3218
łomżyński , 2007
łosicki , 1410
łowicki , 1005
makowski , 1411
malborski , 2209
miechowski , 1208
mielecki , 1811
międzychodzki , 3014
mikołowski , 2408
miński , 1412
mławski , 1413
moniecki , 2008
mrągowski , 2810
myszkowski , 2409
myślenicki , 1209
myśliborski , 3210
namysłowski , 1606
nidzicki , 2811
niżański , 1812
nowomiejski , 2812
nowosądecki , 1210
nowotarski , 1211
nowotomyski , 3015
nyski , 1607
obornicki , 3016
olecki , 2813
oleski , 1608
olkuski , 1212
olsztyński , 2814
opatowski , 2606
opoczyński , 1007
ostrołęcki , 1415
ostrowiecki , 2607
ostródzki , 2815
ostrzeszowski , 3018
oświęcimski , 1213
otwocki , 1417
pabianicki , 1008
pajęczański , 1009
piaseczyński , 1418
pilski , 3019
pińczowski , 2608
piotrkowski , 1010
piski , 2816
pleszewski , 3020
płocki , 1419
płoński , 1420
poddębicki , 1011
policki , 3211
poznański , 3021
proszowicki , 1214
prudnicki , 1610
pruszkowski , 1421
przasnyski , 1422
przemyski , 1813
przeworski , 1814
przysuski , 1423
pszczyński , 2410
pucki , 2211
pułtuski , 1424
pyrzycki , 3212
raciborski , 2411
radomski , 1425
radomszczański , 1012
rawicki , 3022
rawski , 1013
ropczycko-sędziszowski , 1815
rybnicki , 2412
rzeszowski , 1816
sandomierski , 2609
sanocki , 1817
sejneński , 2009
siedlecki , 1426
siemiatycki , 2010
sieradzki , 1014
sierpecki , 1427
skarżyski , 2610
skierniewicki , 1015
sławieński , 3213
słupecki , 3023
słupski , 2212
sochaczewski , 1428
sokołowski , 1429
sokólski , 2011
stalowowolski , 1818
starachowicki , 2611
stargardzki , 3214
starogardzki , 2213
staszowski , 2612
strzelecki , 1611
strzyżowski , 1819
suski , 1215
suwalski , 2012
szamotulski , 3024
szczecinecki , 3215
szczycieński , 2817
sztumski , 2216
szydłowiecki , 1430
śremski , 3026
świdwiński , 3216
tarnobrzeski , 1820
tarnogórski , 2413
tarnowski , 1216
tatrzański , 1217
tczewski , 2214
turecki , 3027
tyski , 2414
wadowicki , 1218
wałecki , 3217
wągrowiecki , 3028
wejherowski , 2215
węgorzewski , 2819
węgrowski , 1433
wielicki , 1219
wieluński , 1017
wieruszowski , 1018
włoszczowski , 2613
wodzisławski , 2415
wolsztyński , 3029
wołomiński , 1434
wrzesiński , 3030
wysokomazowiecki , 2013
wyszkowski , 1435
zambrowski , 2014
zawierciański , 2416
zduńskowolski , 1019
zgierski , 1020
złotowski , 3031
zwoleński , 1436
żuromiński , 1437
żyrardowski , 1438
żywiecki , 2417
m. Białystok , 2061
m. Bielsko-Biała , 2461
m. Bytom , 2462
m. Chorzów , 2463
m. Częstochowa , 2464
m. Dąbrowa Górnicza , 2465
m. Elbląg , 2861
m. Gdańsk , 2261
m. Gdynia , 2262
m. Gliwice , 2466
m. Jastrzębie-Zdrój , 2467
m. Jaworzno , 2468
m. Kalisz , 3061
m. Katowice , 2469
m. Kielce , 2661
m. Konin , 3062
m. Koszalin , 3261
m. Kraków , 1261
m. Krosno , 1861
m. Leszno , 3063
m. Łomża , 2062
m. Łódź , 1061
m. Mysłowice , 2470
m. Nowy Sącz , 1262
m. Olsztyn , 2862
m. Opole , 1661
m. Ostrołęka , 1461
m. Piekary Śląskie , 2471
m. Piotrków Trybunalski , 1062
m. Płock , 1462
m. Poznań , 3064
m. Przemyśl , 1862
m. Radom , 1463
m. Ruda Śląska , 2472
m. Rybnik , 2473
m. Rzeszów , 1863
m. Siedlce , 1464
m. Siemianowice Śląskie , 2474
m. Skierniewice , 1063
m. Słupsk , 2263
m. Sopot , 2264
m. Sosnowiec , 2475
m. Suwałki , 2063
m. Szczecin , 3262
m. Świętochłowice , 2476
m. Świnoujście , 3263
m. Tarnobrzeg , 1864
m. Tarnów , 1263
m. Tychy , 2477
m. Warszawa , 1465
m. Zabrze , 2478
m. Żory , 2479
bielski (podlaski) , 2003
bielski (śląski) , 2402
brzeski (małopolski) , 1202
brzeski (opolski) , 1601
grodziski (mazowiecki) , 1405
grodziski (wielkopolski) , 3005
krośnieński (podkarpacki) , 1807
nowodworski (gdański) , 2210
nowodworski (mazowiecki) , 1414
opolski (śląski) , 1609
ostrowski (mazowiecki) , 1416
ostrowski (wielkopolski) , 3017
średzki (wielkopolski) , 3025
tomaszowski (mazowiecki) , 1016
warszawski zachodni     , 1432
łódzki wschodni         , 1006
